arm,update,parameter_count,selection_kind,dev_token_accuracy,dev_whole_word_exact_match,ood_ce,A36,M36,E12,E13,E14,E15,E16,E36
rt_nextlat,60000,7407104,user_selected_after_development_review,0.9996126302083331,0.99759765625,3.9741276303519615,0.017119140625,0.38278211805555556,0.9976953125,0.957265625,0.39451171875,0.053955078125,0.004091796875,0.0
rt_nextlat,70000,7407104,user_selected_after_development_review,0.9999381510416665,0.99947265625,6.000862372087492,0.016689453125,0.38639539930555555,0.999306640625,0.969521484375,0.479140625,0.07892578125,0.00677734375,0.0
rt_nextlat,80000,7407104,user_selected_after_development_review,0.999404296875,0.99544921875,6.9844860408940965,0.016728515625,0.3782080078125,0.995087890625,0.9091015625,0.29693359375,0.0344140625,0.002236328125,0.0
rt_nextlat_window2,1000,7407104,user_selected_after_development_review,0.6397452799479167,0.027783203125,3.178214151672378,0.01685546875,0.22639105902777779,0.028359375,0.00607421875,0.00072265625,0.000126953125,2.9296875e-05,0.0
rt_nextlat_window2,5000,7407104,user_selected_after_development_review,0.9639803059895833,0.808564453125,3.8579859485123458,0.0169140625,0.3495125325520833,0.80900390625,0.455107421875,0.095830078125,0.011689453125,0.000849609375,0.0
rt_nextlat_window2,10000,7407104,user_selected_after_development_review,0.9895524088541666,0.930302734375,4.546265446721716,0.01708984375,0.3719618055555556,0.932841796875,0.796962890625,0.26087890625,0.03796875,0.00345703125,0.0
rt_nextlat_window2,20000,7407104,user_selected_after_development_review,0.9980183919270833,0.98490234375,4.590643081731741,0.016455078125,0.37216878255208335,0.984951171875,0.804931640625,0.20736328125,0.023193359375,0.001474609375,0.0
rt_nextlat_window2,25000,7407104,user_selected_after_development_review,0.9976261393229165,0.982099609375,4.35416283979475,0.016298828125,0.38392388237847225,0.9823046875,0.94501953125,0.452626953125,0.0643359375,0.004560546875,0.0
rt_nextlat_window2,30000,7407104,user_selected_after_development_review,0.9985888671875,0.988408203125,4.1556661168179065,0.016201171875,0.37783365885416664,0.988466796875,0.89669921875,0.300859375,0.03494140625,0.002041015625,0.0
rt_nextlat_window2,40000,7407104,user_selected_after_development_review,0.9994669596354168,0.996171875,4.377082285529571,0.016298828125,0.37622450086805553,0.996318359375,0.8984375,0.247470703125,0.02482421875,0.001337890625,0.0
rt_nextlat_window2,50000,7407104,user_selected_after_development_review,0.9996744791666666,0.997392578125,4.0458530886748925,0.01697265625,0.3844222005208333,0.997431640625,0.95080078125,0.440478515625,0.06544921875,0.004970703125,0.0
rt_nextlat_window2,60000,7407104,user_selected_after_development_review,0.9995491536458334,0.99634765625,5.653854470097118,0.016943359375,0.3741663953993056,0.996494140625,0.834267578125,0.227392578125,0.028759765625,0.00208984375,0.0
rt_nextlat_window2,70000,7407104,user_selected_after_development_review,0.9995133463541667,0.995078125,6.226021214337749,0.016748046875,0.3663064236111111,0.995087890625,0.68654296875,0.119482421875,0.011357421875,0.00064453125,0.0
rt_nextlat_window2,80000,7407104,user_selected_after_development_review,0.9998689778645833,0.999189453125,7.4057384437107725,0.01736328125,0.3818069118923611,0.99919921875,0.95083984375,0.36384765625,0.052919921875,0.004375,0.0
